State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Karnataka,Davangere,14.22,0,18.14,16.43,18.14,0,18.14,16.33,18.14,19.95,19.79,17.74,19.79,15.24,24.27,20.74,106.43
Karnataka,Gulbarga,19.4,0,28.15,25.44,28.15,0,28.15,25.34,28.15,30.96,31.82,17.56,25.76,11.55,31.59,0,110.85
Karnataka,Raichur,14.95,0,19.56,7.6,19.56,0,19.56,17.6,19.56,21.52,21.49,21.49,21.49,21.39,26.36,0,89.6
Karnataka,Yadgir,0,0,0,0,0,0,0,0,0,0,0,0,17.21,11.2,21.11,13.66,24.86
Karnataka,Total (Development Grant),77.53,0,103.17,84.97,103.17,0,103.17,94.88,103.17,113.48,113.91,90.05,125.06,102.82,153.41,71.22,557.42
Karnataka,Capacity Building ,5,0,5,10,5,0,5,8.39,5,5,5,2.69,6,3.5,6,0,29.58
Karnataka,Grand Total (DG +CB),82.53,0,108.17,94.97,108.17,0,108.17,103.27,108.17,118.48,118.91,92.74,131.06,106.32,159.41,71.22,587
Kerala,Palakkad,14.72,0,19.07,9.35,19.07,0,19.07,13.8,19.07,24.34,20.91,20.91,20.91,14.02,25.66,0,82.42
Kerala,Wayanad,11.69,0,13.26,12.03,13.26,0,13.26,8.41,13.26,5.97,13.92,13.75,13.92,5.54,17.07,0,45.7
Kerala,Total (Development Grant),26.41,0,32.33,21.38,32.33,0,32.33,22.21,32.33,30.31,34.83,34.66,34.83,19.56,42.73,0,128.12
Kerala,Capacity Building ,2,0,2,2,2,0,2,2,2,1.28,2,0,2,0.67,2,0,5.95
Kerala,Grand Total (DG +CB),28.41,0,34.33,23.38,34.33,0,34.33,24.21,34.33,31.59,36.83,34.66,36.83,20.23,44.73,0,134.07
Madhya Pradesh,Alirajpur,0,0,0,0,0,0,0,0,0,0,0,0,13.76,7.85,16.88,7.36,15.21
Madhya Pradesh,Anuppur,0,0,0,0,0,0,0,0,0,0,0,0,15.07,12.99,18.47,0,12.99
Madhya Pradesh,Ashoknagar,0,0,0,0,0,0,0,0,0,0,0,0,15.85,9.15,19.45,9.27,18.42
Madhya Pradesh,Balaghat,14.97,1,19.62,16.64,19.62,14.12,19.62,13.24,19.62,19.62,21.56,21.56,21.56,12.96,26.44,0,99.14
Madhya Pradesh,Barwani,13.16,1,16.1,13.24,16.1,13.44,16.1,11.9,16.1,20.3,17.34,17.34,17.34,9.63,21.27,0,86.85
Madhya Pradesh,Betul,15.13,1,19.93,18.03,19.93,13.91,19.93,14.2,19.93,25.66,21.94,21.94,21.94,21.94,26.91,0,116.68
Madhya Pradesh,Burhanpur,0,0,0,0,0,0,0,0,0,0,0,0,14.76,10.22,18.09,0,10.22
Madhya Pradesh,Chhattarpur,14.75,1,19.18,14.01,19.18,13.85,19.18,11.76,19.18,19.18,21.04,21.04,21.04,21.04,25.8,0,101.88
Madhya Pradesh,Chhindwara,0,0,0,0,0,0,0,0,0,0,0,0,25.18,22.66,30.88,10,32.66
